order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,287,160,Item_44,2023-09-18,12:01:00,Delivered,978.82
2,404,96,Item_22,2023-07-26,16:14:00,Delivered,319.2
3,522,103,Item_33,2022-02-11,10:46:00,Delivered,266.48
4,342,122,Item_34,2023-04-13,12:32:00,Pending,909.16
5,144,84,Item_40,2022-11-23,12:46:00,Cancelled,992.02
6,758,77,Item_38,2022-12-11,18:39:00,Pending,602.49
7,726,145,Item_20,2023-05-02,10:17:00,Cancelled,431.55
8,113,107,Item_38,2022-11-12,21:44:00,Pending,172.65
9,486,68,Item_42,2023-08-16,19:51:00,Delivered,763.19
10,598,123,Item_11,2023-06-21,20:44:00,Pending,676.78
11,862,98,Item_10,2023-11-29,14:08:00,Delivered,636.68
12,718,29,Item_13,2022-01-20,17:31:00,Cancelled,505.96
13,423,177,Item_14,2023-02-25,18:33:00,Pending,932.44
14,894,189,Item_47,2022-03-05,12:21:00,Pending,326.24
15,333,170,Item_31,2023-06-23,16:25:00,Cancelled,963.18
16,471,137,Item_22,2023-07-14,16:02:00,Pending,806.19
17,739,175,Item_42,2023-12-11,14:30:00,Pending,561.55
18,981,64,Item_18,2023-07-26,15:05:00,Delivered,950.26
19,305,198,Item_19,2023-12-23,13:32:00,Pending,749.24
20,325,123,Item_23,2023-07-28,14:40:00,Cancelled,253.59
21,693,140,Item_25,2023-02-09,15:53:00,Delivered,396.88
22,295,183,Item_6,2022-12-21,17:32:00,Pending,367.98
23,491,55,Item_13,2023-07-06,14:37:00,Pending,741.75
24,141,28,Item_40,2023-08-24,14:05:00,Delivered,193.15
25,927,136,Item_15,2023-10-16,13:58:00,Delivered,235.17
26,339,184,Item_31,2022-04-13,21:37:00,Delivered,154.4
27,564,41,Item_27,2023-10-31,18:07:00,Cancelled,702.96
28,775,74,Item_21,2022-10-20,21:01:00,Delivered,921.75
29,92,167,Item_37,2022-08-26,19:07:00,Pending,764.65
30,960,10,Item_12,2023-03-04,13:00:00,Delivered,997.6
31,407,127,Item_12,2022-10-24,10:38:00,Delivered,403.63
32,618,28,Item_22,2022-10-19,17:45:00,Pending,611.81
33,506,35,Item_33,2023-04-25,14:39:00,Delivered,837.49
34,339,42,Item_47,2023-04-15,21:03:00,Cancelled,760.81
35,15,189,Item_22,2022-10-30,19:41:00,Pending,793.69
36,180,157,Item_41,2023-02-20,17:17:00,Pending,428.74
37,411,172,Item_7,2022-07-09,12:23:00,Cancelled,425.06
38,255,2,Item_17,2023-01-28,14:01:00,Cancelled,790.69
39,977,85,Item_20,2023-08-20,19:46:00,Delivered,372.32
40,369,178,Item_16,2022-03-05,21:23:00,Delivered,545.59
41,164,104,Item_44,2023-05-30,22:00:00,Cancelled,736.75
42,655,76,Item_24,2023-09-22,13:46:00,Delivered,963.76
43,490,40,Item_30,2023-09-13,16:22:00,Cancelled,746.65
44,935,121,Item_49,2023-07-05,21:20:00,Delivered,797.58
45,697,194,Item_39,2022-03-25,18:58:00,Cancelled,598.95
46,371,20,Item_37,2022-04-25,11:03:00,Pending,917.45
47,208,147,Item_35,2022-06-03,12:48:00,Cancelled,876.31
48,453,30,Item_44,2022-07-30,19:57:00,Cancelled,227.3
49,523,115,Item_4,2023-04-10,12:15:00,Pending,503.11
50,578,15,Item_36,2023-04-19,21:28:00,Cancelled,764.79
51,406,66,Item_1,2022-08-12,19:52:00,Delivered,188.5
52,353,180,Item_5,2023-07-09,11:01:00,Delivered,988.22
53,484,9,Item_19,2023-02-23,13:04:00,Delivered,800.95
54,747,166,Item_27,2023-01-19,16:31:00,Cancelled,889.18
55,929,97,Item_25,2022-03-24,21:39:00,Pending,893.37
56,137,168,Item_23,2022-05-02,13:02:00,Pending,484.1
57,131,187,Item_15,2022-01-04,10:23:00,Cancelled,543.55
58,737,140,Item_28,2023-06-29,16:28:00,Delivered,360.39
59,355,40,Item_18,2022-07-13,11:55:00,Delivered,838.06
60,430,158,Item_50,2022-01-17,14:06:00,Delivered,207.2
61,609,9,Item_29,2023-09-05,21:28:00,Pending,891.38
62,251,190,Item_3,2023-02-16,17:29:00,Delivered,608.8
63,773,199,Item_4,2022-05-24,18:35:00,Cancelled,349.04
64,939,188,Item_37,2022-11-23,19:51:00,Pending,806.66
65,839,83,Item_16,2022-11-06,12:26:00,Pending,593.06
66,424,77,Item_18,2022-03-04,19:30:00,Pending,897.76
67,934,45,Item_41,2023-11-27,17:17:00,Pending,571.28
68,996,89,Item_42,2023-11-19,16:30:00,Pending,420.92
69,427,105,Item_10,2022-11-04,16:25:00,Delivered,791.25
70,485,62,Item_15,2022-11-04,12:27:00,Cancelled,927.53
71,576,106,Item_27,2023-07-25,19:02:00,Delivered,480.16
72,262,53,Item_22,2023-10-25,11:20:00,Cancelled,870.06
73,95,138,Item_47,2022-07-15,10:52:00,Cancelled,470.59
74,620,155,Item_3,2022-03-16,13:12:00,Pending,765.66
75,573,56,Item_31,2022-08-02,15:40:00,Cancelled,963.47
76,16,55,Item_13,2022-05-01,18:10:00,Delivered,741.28
77,721,53,Item_26,2022-09-03,19:25:00,Cancelled,809.19
78,390,120,Item_35,2023-10-27,16:07:00,Cancelled,372.33
79,526,128,Item_30,2022-04-11,18:00:00,Cancelled,927.18
80,380,81,Item_27,2022-02-16,19:36:00,Delivered,780.06
81,17,67,Item_36,2023-08-22,19:53:00,Pending,504.94
82,157,51,Item_22,2022-08-24,16:28:00,Pending,858.36
83,512,141,Item_42,2023-12-03,15:45:00,Cancelled,798.86
84,501,186,Item_42,2023-05-18,17:51:00,Delivered,772.86
85,361,44,Item_9,2023-07-14,18:20:00,Delivered,929.36
