rider_id,rider_name,sign_up_date
1,Rider_1,2022-08-30
2,Rider_2,2023-01-07
3,Rider_3,2022-04-12
4,Rider_4,2023-12-04
5,Rider_5,2023-01-12
6,Rider_6,2023-07-12
7,Rider_7,2023-10-23
8,Rider_8,2023-01-03
9,Rider_9,2022-03-04
10,Rider_10,2023-02-12
11,Rider_11,2022-10-10
12,Rider_12,2022-07-14
13,Rider_13,2022-05-06
14,Rider_14,2023-04-11
15,Rider_15,2022-04-04
16,Rider_16,2023-11-10
17,Rider_17,2022-08-06
18,Rider_18,2023-10-20
19,Rider_19,2023-10-17
20,Rider_20,2023-09-04
21,Rider_21,2022-01-22
22,Rider_22,2022-02-21
23,Rider_23,2022-12-08
24,Rider_24,2022-09-07
25,Rider_25,2022-05-09
26,Rider_26,2023-08-02
27,Rider_27,2022-07-30
28,Rider_28,2022-03-12
29,Rider_29,2023-07-22
30,Rider_30,2022-08-01
31,Rider_31,2023-08-24
32,Rider_32,2022-08-10
33,Rider_33,2022-08-27
34,Rider_34,2022-12-03
35,Rider_35,2022-06-01
36,Rider_36,2023-09-03
37,Rider_37,2022-01-03
38,Rider_38,2022-10-11
39,Rider_39,2022-05-29
40,Rider_40,2022-05-14
41,Rider_41,2023-07-08
42,Rider_42,2022-09-14
43,Rider_43,2022-06-28
44,Rider_44,2022-04-23
45,Rider_45,2023-11-08
46,Rider_46,2022-01-27
47,Rider_47,2022-05-15
48,Rider_48,2022-01-16
49,Rider_49,2023-01-02
50,Rider_50,2022-09-01
51,Rider_51,2023-08-26
52,Rider_52,2022-11-28
53,Rider_53,2022-01-17
54,Rider_54,2022-06-28
55,Rider_55,2022-09-29
56,Rider_56,2022-02-23
57,Rider_57,2022-05-10
58,Rider_58,2023-03-08
59,Rider_59,2023-06-23
60,Rider_60,2022-04-27
61,Rider_61,2022-03-07
62,Rider_62,2023-05-03
63,Rider_63,2023-04-05
64,Rider_64,2023-01-06
65,Rider_65,2023-06-10
66,Rider_66,2023-08-31
67,Rider_67,2022-04-22
68,Rider_68,2023-04-08
69,Rider_69,2023-05-31
70,Rider_70,2022-08-15
71,Rider_71,2023-09-22
72,Rider_72,2022-02-14
73,Rider_73,2023-11-06
74,Rider_74,2023-06-18
75,Rider_75,2022-11-05
76,Rider_76,2023-04-15
77,Rider_77,2023-10-21
78,Rider_78,2022-02-01
79,Rider_79,2022-03-04
80,Rider_80,2023-05-06
81,Rider_81,2023-02-16
82,Rider_82,2023-03-13
83,Rider_83,2023-12-04
84,Rider_84,2022-04-21
85,Rider_85,2023-05-18
86,Rider_86,2023-12-31
87,Rider_87,2023-03-31
88,Rider_88,2022-03-17
89,Rider_89,2022-03-24
90,Rider_90,2022-11-26
91,Rider_91,2023-09-15
92,Rider_92,2022-06-01
93,Rider_93,2022-03-09
94,Rider_94,2022-05-10
95,Rider_95,2022-10-09
